id,name,brand,flavor,nicotine,pack_size,price,e-shop,stock,url,date
kurwa-collection-malina-15,KURWA COLLECTION - RASPBERRY STRAWBERRY  15 mg/g,KURWA COLLECTION,Malina,15,,119,,True,https://www.nordiction.cz/kurwa-collection/kurwa-collection-raspberry-strawberry/,22/03/2025
kurwa-collection-jablko-15,KURWA COLLECTION KIWI APPLE  15 mg/g,KURWA COLLECTION,Jablko,15,,119,,True,https://www.nordiction.cz/kurwa-collection/kurwa-collection-kiwi-apple/,22/03/2025
kurwa-collection-mango-15,KURWA COLLECTION MANGO RASPBERRY  15 mg/g,KURWA COLLECTION,Mango,15,,119,,True,https://www.nordiction.cz/kurwa-collection/kurwa-collection-mango-raspberry/,22/03/2025
kurwa-collection-jahodova-zvykacka-15,KURWA COLLECTION STRAWBERRY GUM  15 mg/g,KURWA COLLECTION,Jahodová žvýkačka,15,,119,,True,https://www.nordiction.cz/kurwa-collection/kurwa-collection-strawberry-gum/,22/03/2025
pablo---nikotinove-sacky-mentol-16,PABLO ICE COLD  16 mg/g,PABLO - Nikotinové sáčky,Mentol,16,,139,,True,https://www.nordiction.cz/pablo/pablo-ice-cold/,22/03/2025
pablo---nikotinove-sacky-mentol-16,PABLO ICE COLD MINI  16 mg/g,PABLO - Nikotinové sáčky,Mentol,16,,139,,True,https://www.nordiction.cz/pablo/pablo-ice-cold-mini/,22/03/2025
syx-mentol-16,"SYX FREEZE  16,4 mg/g",SYX,Mentol,16,,120,,True,https://www.nordiction.cz/syx-nikotinove-sacky/syx-freeze/,22/03/2025
syx-cola-16,"SYX ROYAL  16,4 mg/g",SYX,Cola,16,,120,,True,https://www.nordiction.cz/syx-nikotinove-sacky/syx-royal/,22/03/2025
nikotinove-sacky-mentol-0,VELO CRISPY PEPPERMINT ZERO  0% nikotinu,Nikotinové sáčky,Mentol,0,,139,,True,https://www.nordiction.cz/nikotinove-sacky/velo-crispy-peppermint-zero/,22/03/2025
dope---nikotinove-sacky-mentol-16,DOPE ICE COOL XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mentol,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-cool-xtra-strong/,22/03/2025
